Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
buffalo,13,104.5,painless lumps,loss of appetite,depression,lumpy virus
buffalo,9,102.5,depression,painless lumps,loss of appetite,lumpy virus
buffalo,11,100.5,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,15,100.3,fatigue,sweats,shortness of breath,anthrax
buffalo,1,101.3,shortness of breath,sweats,swelling in extremities,anthrax
buffalo,10,104.4,swelling in limb,loss of appetite,crackling sound,blackleg
buffalo,14,102.9,loss of appetite,depression,painless lumps,lumpy virus
buffalo,4,100.6,loss of appetite,depression,painless lumps,pneumonia
buffalo,3,104.7,painless lumps,loss of appetite,depression,pneumonia
buffalo,9,104.7,painless lumps,depression,loss of appetite,lumpy virus
buffalo,13,100.9,fatigue,shortness of breath,chills,anthrax
buffalo,5,104.3,fatigue,chills,chest discomfort,anthrax
buffalo,13,103.6,crackling sound,depression,swelling in limb,blackleg
buffalo,9,102.4,loss of appetite,painless lumps,depression,pneumonia
buffalo,2,101.3,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,15,101.4,depression,loss of appetite,painless lumps,pneumonia
buffalo,13,103.2,shortness of breath,fatigue,sweats,anthrax
buffalo,11,103.3,lameness,blisters on mouth,loss of appetite,foot and mouth
buffalo,11,102.9,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,5,103.8,lameness,blisters on mouth,loss of appetite,foot and mouth
buffalo,1,102.2,painless lumps,depression,loss of appetite,lumpy virus
buffalo,11,101.9,swelling in limb,crackling sound,loss of appetite,blackleg
buffalo,8,101.8,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,12,102.6,sores on tongue,lameness,loss of appetite,foot and mouth
buffalo,13,101.2,loss of appetite,difficulty walking,depression,blackleg
buffalo,12,100.4,shortness of breath,sweats,chills,anthrax
buffalo,10,100.2,painless lumps,loss of appetite,depression,pneumonia
buffalo,13,101.2,painless lumps,depression,loss of appetite,pneumonia
buffalo,9,101.2,depression,painless lumps,loss of appetite,lumpy virus
buffalo,2,104.5,depression,loss of appetite,painless lumps,pneumonia
buffalo,15,100.4,swelling in muscle,crackling sound,loss of appetite,blackleg
buffalo,3,101.3,painless lumps,loss of appetite,depression,lumpy virus
buffalo,4,103.6,painless lumps,loss of appetite,depression,pneumonia
buffalo,10,102.0,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,12,101.7,loss of appetite,painless lumps,depression,pneumonia
buffalo,14,102.6,sweats,fatigue,chest discomfort,anthrax
buffalo,8,103.7,painless lumps,loss of appetite,depression,pneumonia
buffalo,13,104.4,difficulty walking,sores on gums,loss of appetite,foot and mouth
buffalo,3,101.0,painless lumps,depression,loss of appetite,lumpy virus
buffalo,1,101.8,sores on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,12,101.6,shortness of breath,chills,chest discomfort,anthrax
buffalo,7,102.8,chest discomfort,shortness of breath,swelling in neck,anthrax
buffalo,10,100.0,loss of appetite,depression,painless lumps,lumpy virus
buffalo,13,101.2,lameness,loss of appetite,sores on tongue,foot and mouth
buffalo,1,102.3,sores on gums,lameness,loss of appetite,foot and mouth
buffalo,15,100.4,loss of appetite,painless lumps,depression,pneumonia
buffalo,3,102.1,fatigue,sweats,chills,anthrax
buffalo,2,102.9,loss of appetite,depression,painless lumps,lumpy virus
buffalo,13,102.2,depression,painless lumps,loss of appetite,pneumonia
buffalo,15,104.2,painless lumps,loss of appetite,depression,pneumonia
buffalo,1,102.2,shortness of breath,sweats,chills,anthrax
buffalo,1,103.0,blisters on mouth,lameness,loss of appetite,foot and mouth
buffalo,11,103.7,shortness of breath,swelling in extremities,chest discomfort,anthrax
buffalo,7,103.7,loss of appetite,painless lumps,depression,pneumonia
buffalo,4,103.5,difficulty walking,sores on hooves,loss of appetite,foot and mouth
buffalo,11,104.8,painless lumps,loss of appetite,depression,lumpy virus
buffalo,6,102.4,depression,painless lumps,loss of appetite,lumpy virus
buffalo,1,101.2,painless lumps,loss of appetite,depression,pneumonia
buffalo,1,100.2,loss of appetite,difficulty walking,sores on tongue,foot and mouth
buffalo,4,100.0,loss of appetite,depression,painless lumps,pneumonia
buffalo,11,102.7,fatigue,shortness of breath,swelling in neck,anthrax
buffalo,14,101.1,depression,loss of appetite,swelling in limb,blackleg
buffalo,1,101.7,lameness,loss of appetite,depression,blackleg
buffalo,7,102.7,depression,painless lumps,loss of appetite,lumpy virus
buffalo,14,102.0,depression,crackling sound,swelling in muscle,blackleg
buffalo,6,104.3,loss of appetite,depression,painless lumps,lumpy virus
buffalo,6,103.9,sores on tongue,lameness,loss of appetite,foot and mouth
buffalo,6,101.2,swelling in abdomen,shortness of breath,fatigue,anthrax
buffalo,12,104.2,painless lumps,loss of appetite,depression,pneumonia
buffalo,8,101.9,loss of appetite,painless lumps,depression,lumpy virus
buffalo,9,100.4,chills,sweats,shortness of breath,anthrax
buffalo,8,101.1,painless lumps,depression,loss of appetite,pneumonia
buffalo,12,102.3,sores on tongue,loss of appetite,difficulty walking,foot and mouth
buffalo,13,101.4,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
buffalo,8,101.8,loss of appetite,painless lumps,depression,lumpy virus
buffalo,11,103.7,shortness of breath,fatigue,sweats,anthrax
buffalo,11,102.5,fatigue,chills,sweats,anthrax
buffalo,3,103.8,chills,fatigue,shortness of breath,anthrax
buffalo,3,100.4,difficulty walking,sores on gums,loss of appetite,foot and mouth
buffalo,5,102.6,depression,painless lumps,loss of appetite,lumpy virus
buffalo,15,102.4,depression,painless lumps,loss of appetite,lumpy virus
buffalo,3,103.4,crackling sound,depression,loss of appetite,blackleg
buffalo,1,100.6,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,5,103.3,crackling sound,swelling in limb,depression,blackleg
buffalo,14,103.4,sweats,chills,fatigue,anthrax
buffalo,13,102.7,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
buffalo,10,102.4,loss of appetite,depression,crackling sound,blackleg
buffalo,7,100.2,difficulty walking,swelling in limb,loss of appetite,blackleg
buffalo,11,102.5,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,5,104.9,fatigue,sweats,swelling in abdomen,anthrax
buffalo,8,101.6,depression,loss of appetite,painless lumps,lumpy virus
buffalo,7,102.8,shortness of breath,fatigue,sweats,anthrax
buffalo,9,102.5,crackling sound,loss of appetite,difficulty walking,blackleg
buffalo,13,104.3,depression,painless lumps,loss of appetite,lumpy virus
buffalo,5,100.1,chills,swelling in neck,shortness of breath,anthrax
buffalo,3,104.0,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,7,103.0,depression,painless lumps,loss of appetite,pneumonia
buffalo,2,101.6,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,10,100.6,painless lumps,loss of appetite,depression,pneumonia
buffalo,5,102.1,painless lumps,depression,loss of appetite,lumpy virus
buffalo,7,102.1,loss of appetite,sores on gums,difficulty walking,foot and mouth
buffalo,11,102.3,depression,painless lumps,loss of appetite,pneumonia
buffalo,10,104.5,depression,loss of appetite,painless lumps,pneumonia
buffalo,2,100.6,painless lumps,loss of appetite,depression,lumpy virus
buffalo,9,101.9,swelling in extremities,fatigue,sweats,anthrax
buffalo,1,101.1,swelling in muscle,loss of appetite,lameness,blackleg
buffalo,9,102.3,painless lumps,loss of appetite,depression,pneumonia
buffalo,9,100.9,fatigue,chills,swelling in neck,anthrax
buffalo,4,104.0,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
buffalo,5,103.2,loss of appetite,depression,painless lumps,lumpy virus
buffalo,4,104.7,swelling in muscle,difficulty walking,crackling sound,blackleg
buffalo,3,101.9,depression,painless lumps,loss of appetite,lumpy virus
buffalo,4,100.7,loss of appetite,depression,painless lumps,pneumonia
buffalo,4,104.6,loss of appetite,painless lumps,depression,pneumonia
buffalo,7,102.2,chest discomfort,shortness of breath,fatigue,anthrax
buffalo,6,104.1,depression,painless lumps,loss of appetite,lumpy virus
buffalo,6,102.0,depression,loss of appetite,swelling in muscle,blackleg
buffalo,11,102.0,fatigue,sweats,shortness of breath,anthrax
buffalo,4,103.5,depression,loss of appetite,painless lumps,lumpy virus
buffalo,14,102.4,swelling in limb,lameness,loss of appetite,blackleg
buffalo,7,104.4,lameness,blisters on mouth,loss of appetite,foot and mouth
buffalo,1,103.0,depression,difficulty walking,loss of appetite,blackleg
buffalo,1,102.4,loss of appetite,painless lumps,depression,pneumonia
buffalo,15,101.3,loss of appetite,painless lumps,depression,pneumonia
buffalo,15,104.4,loss of appetite,depression,painless lumps,pneumonia
buffalo,12,102.2,sweats,chest discomfort,shortness of breath,anthrax
buffalo,15,100.2,loss of appetite,painless lumps,depression,lumpy virus
buffalo,2,100.3,loss of appetite,depression,painless lumps,pneumonia
buffalo,8,101.6,loss of appetite,painless lumps,depression,lumpy virus
buffalo,12,101.4,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
buffalo,15,104.6,depression,painless lumps,loss of appetite,pneumonia
buffalo,13,101.4,painless lumps,depression,loss of appetite,pneumonia
buffalo,14,104.1,painless lumps,loss of appetite,depression,lumpy virus
buffalo,14,104.7,difficulty walking,loss of appetite,sores on tongue,foot and mouth
buffalo,10,100.1,lameness,loss of appetite,sores on hooves,foot and mouth
buffalo,13,102.1,chest discomfort,sweats,fatigue,anthrax
buffalo,15,101.1,painless lumps,depression,loss of appetite,lumpy virus
buffalo,12,103.6,depression,loss of appetite,painless lumps,lumpy virus
buffalo,5,101.1,loss of appetite,difficulty walking,depression,blackleg
buffalo,15,100.3,loss of appetite,crackling sound,swelling in muscle,blackleg
buffalo,6,102.1,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,9,104.7,chest discomfort,sweats,shortness of breath,anthrax
buffalo,6,102.1,depression,painless lumps,loss of appetite,lumpy virus
buffalo,15,101.6,painless lumps,depression,loss of appetite,pneumonia
buffalo,4,101.8,chills,sweats,shortness of breath,anthrax
buffalo,15,100.5,depression,loss of appetite,painless lumps,pneumonia
buffalo,1,103.9,fatigue,chills,shortness of breath,anthrax
buffalo,14,101.7,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,8,104.5,depression,loss of appetite,painless lumps,lumpy virus
buffalo,4,103.0,painless lumps,depression,loss of appetite,pneumonia
buffalo,6,102.3,loss of appetite,difficulty walking,sores on gums,foot and mouth
buffalo,3,100.4,sores on tongue,loss of appetite,lameness,foot and mouth
buffalo,15,102.1,swelling in extremities,chest discomfort,fatigue,anthrax
buffalo,12,101.8,painless lumps,loss of appetite,depression,pneumonia
buffalo,4,100.6,loss of appetite,lameness,sores on gums,foot and mouth
buffalo,3,102.9,loss of appetite,depression,painless lumps,pneumonia
buffalo,7,103.3,chills,sweats,fatigue,anthrax
buffalo,13,104.8,depression,painless lumps,loss of appetite,lumpy virus
buffalo,2,103.1,chest discomfort,fatigue,shortness of breath,anthrax
buffalo,6,100.9,lameness,depression,loss of appetite,blackleg
buffalo,3,102.8,chills,swelling in abdomen,sweats,anthrax
buffalo,7,102.1,depression,swelling in limb,crackling sound,blackleg
buffalo,3,100.7,chills,shortness of breath,fatigue,anthrax
buffalo,8,102.7,depression,lameness,crackling sound,blackleg
buffalo,5,100.0,loss of appetite,swelling in muscle,lameness,blackleg
buffalo,14,101.5,swelling in abdomen,sweats,shortness of breath,anthrax
buffalo,12,102.7,loss of appetite,sores on hooves,lameness,foot and mouth
buffalo,10,102.4,fatigue,swelling in extremities,chest discomfort,anthrax
buffalo,13,100.7,painless lumps,loss of appetite,depression,lumpy virus
