Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
goat,10,101.2,loss of appetite,blisters on gums,difficulty walking,foot and mouth
goat,6,101.7,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
goat,3,102.7,lameness,blisters on mouth,loss of appetite,foot and mouth
goat,10,100.3,chills,swelling in extremities,shortness of breath,anthrax
goat,6,102.9,loss of appetite,painless lumps,depression,lumpy virus
goat,1,101.7,chest discomfort,shortness of breath,chills,anthrax
goat,7,102.6,swelling in abdomen,shortness of breath,fatigue,anthrax
goat,6,100.1,swelling in abdomen,shortness of breath,chest discomfort,anthrax
goat,6,103.3,painless lumps,loss of appetite,depression,lumpy virus
goat,9,102.8,loss of appetite,depression,painless lumps,pneumonia
goat,10,104.6,chest discomfort,chills,swelling in extremities,anthrax
goat,3,101.4,depression,painless lumps,loss of appetite,pneumonia
goat,5,102.8,painless lumps,loss of appetite,depression,lumpy virus
goat,6,105.0,depression,lameness,loss of appetite,blackleg
goat,9,103.7,loss of appetite,sores on gums,difficulty walking,foot and mouth
goat,9,102.2,swelling in muscle,difficulty walking,crackling sound,blackleg
goat,6,104.5,loss of appetite,depression,painless lumps,lumpy virus
goat,3,103.8,chest discomfort,swelling in neck,chills,anthrax
goat,8,100.9,depression,painless lumps,loss of appetite,lumpy virus
goat,10,102.1,loss of appetite,lameness,crackling sound,blackleg
goat,1,102.5,loss of appetite,depression,painless lumps,lumpy virus
goat,4,103.8,loss of appetite,painless lumps,depression,pneumonia
goat,4,104.3,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
goat,5,102.6,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
goat,8,102.0,chills,fatigue,swelling in abdomen,anthrax
goat,1,102.4,painless lumps,depression,loss of appetite,lumpy virus
goat,2,102.0,depression,painless lumps,loss of appetite,lumpy virus
goat,7,104.7,loss of appetite,lameness,blisters on tongue,foot and mouth
goat,7,104.2,depression,loss of appetite,painless lumps,pneumonia
goat,2,101.1,loss of appetite,painless lumps,depression,pneumonia
goat,9,101.3,depression,loss of appetite,painless lumps,pneumonia
goat,6,101.0,chest discomfort,swelling in extremities,chills,anthrax
goat,4,101.0,sores on hooves,loss of appetite,lameness,foot and mouth
goat,7,101.2,chest discomfort,chills,sweats,anthrax
goat,7,101.6,sweats,shortness of breath,chills,anthrax
goat,7,100.4,depression,lameness,swelling in muscle,blackleg
goat,6,101.9,depression,painless lumps,loss of appetite,lumpy virus
